subject,척추의 중립,이완시 팔꿈치 90도,가슴의 충분한 이동,손의 위치 가슴 중앙 여부,고개 젖힘/숙임 여부
561,true,true,true,true,true
562,false,true,true,true,true
563,true,false,true,true,true
564,true,true,false,true,true
565,true,true,true,false,true
566,true,true,true,true,false
567,false,false,true,true,true
568,false,true,false,true,true
569,false,true,true,false,true
570,false,true,true,true,false
571,true,false,false,true,true
572,true,false,true,false,true
573,true,false,true,true,false
574,true,true,false,false,true
575,true,true,false,true,false
576,true,true,true,false,false
577,true,true,false,false,false
578,true,false,true,false,false
579,true,false,false,true,false
580,true,false,false,false,true
581,false,true,true,false,false
582,false,true,false,true,false
583,false,true,false,false,true
584,false,false,true,true,false
585,false,false,true,false,true
586,false,false,false,true,true
587,true,false,false,false,false
588,false,true,false,false,false
589,false,false,true,false,false
590,false,false,false,true,false
591,false,false,false,false,true
592,false,false,false,false,false
